from,to,street_name
1590352958,1590353014,улица Маршала Жукова
1588592701,5899065426,-
5899065426,5899065427,-
5899065427,5899065428,-
1589993764,5950855386,-
5950855386,5950855385,-
5950855386,8123365231,-
8123365231,8123365230,-
8123365230,1589993734,-
1590075262,1590075280,-
1590075280,1590075234,-
1590075448,8111283176,-
8111283176,6503425437,-
6503425437,1590075262,-
1589993635,7106877151,-
7106877151,7106877152,-
7106877152,7106877153,-
7106877153,7106877154,-
7106877154,7106877155,-
7106877155,7106877156,-
7106877156,7106877158,-
7106877158,7106877159,-
1589993596,1589993505,улица Герцена
7106877161,7106877162,-
7106877162,7106877163,-
7106877163,7106877175,-
7106877175,7106877164,-
7106877164,7106877165,-
7106877165,7106877166,-
7106877166,7106877167,-
7106877167,7106877168,-
7106877168,7106877169,-
7106877169,7106877177,-
7106877177,7106877176,-
7106877176,7106877170,-
7106877170,7106877171,-
7106877162,7106877172,-
7106877172,7106877173,-
7106877173,7106877174,-
7106877174,7106877170,-
7106877175,7106877176,-
7106877177,1590058391,-
7106877176,7106877178,-
7106877165,7106877179,-
7106877179,7106877180,-
7106877180,1589993627,-
7411099981,1588312236,-
1588312236,1588312238,-
1588312238,1588312233,-
330695824,8082933056,улица Пушкина
8082933056,5899058910,улица Пушкина
8045721383,8045721384,-
1588592701,8061299948,-
8061299948,8061299951,-
8061299951,8061271996,-
8082878294,8082878295,-
8082878295,8082878296,-
8082878296,8082878297,-
8082980151,8166861778,-
8166861778,8082980152,-
8082980152,8082980153,-
1590353083,8107328127,-
8107345234,8107345235,-
8107345235,1590371188,-
8107345235,8107345236,-
8107345236,8107345237,-
1590338414,8107403283,-
8107403283,8107403284,-
8107403284,8107403285,-
8110054123,8110054127,-
8110054127,8341103775,-
8341103775,8110054124,-
8110054127,1588356789,-
6311059515,8100821562,-
8100821562,8110392037,-
8110392037,8383620881,-
8383620881,8383620883,-
8383620883,8383620882,-
4206176112,8111274853,-
8111274853,8111274854,-
1590075357,8111282347,-
8111282347,8111282348,-
8111282348,8111282349,-
8111282349,8111282350,-
1590075398,8111282351,-
5899058909,8123140557,-
8123140557,8123140556,-
8123140556,8123140555,-
8123140555,8111282352,-
8122771709,8122771710,-
1593781416,8122771710,-
1593781468,8122776024,-
8132956874,8132956875,-
8132956910,8158112374,-
8158112374,8132956911,-
8132956910,8132956895,-
8132956895,8132956875,-
10074634297,8132954638,-
10074634298,8132954640,-
1590006842,8045721383,-
8166861778,8166861779,-
8166861779,8166861780,-
8166861780,8166861781,-
8166861781,8166861782,-
8166861782,8166861783,-
